node,x_c,y_c,arc_s,local_spacing_ds,surface
100,0.3108864711909581,-0.06361610984835818,0.6932895321284432,0.009032786878426124,lower
101,0.30189596858976964,-0.06322828938676864,0.7022883954862459,0.008963307707531065,lower
102,0.29297851637271133,-0.06279956715456739,0.7112161475435054,0.00889056949438738,lower
103,0.28413755302123844,-0.06233070984467602,0.7200695344750206,0.008814583289521227,lower
104,0.27537649887680926,-0.06182253792462153,0.7288453141225478,0.008735361439752287,lower
105,0.2666987544073366,-0.06127592221880383,0.7375402573545252,0.008652917714921715,lower
106,0.25810769843607906,-0.06069178033365054,0.7461511495523913,0.00856726743399061,lower
107,0.24960668633756752,-0.06007107293980993,0.7546747922225064,0.008478427589823978,lower
108,0.24119904820533836,-0.05941479992617456,0.7631080047320392,0.00838641697204412,lower
109,0.23288808699638525,-0.05872399644111244,0.7714476261665947,0.008291256287415283,lower
110,0.2246770766573481,-0.057999728836803856,0.7796905173068698,0.008192968277314416,lower
111,0.2165692602375279,-0.05724309053304069,0.7878335627212235,0.008091577831949859,lower
112,0.20856784799385272,-0.0564551978172349,0.7958736729707695,0.007987112101112415,lower
113,0.2006760154929188,-0.055637185597707035,0.8038077869234483,0.007879600601380987,lower
114,0.1928969017151993,-0.05479020312757662,0.8116328741735315,0.007769075319858543,lower
115,0.18523360716644943,-0.05391540971675742,0.8193459375631654,0.007655570814689483,lower
116,0.1776891920012404,-0.05301397044966822,0.8269440158029104,0.007539124312805012,lower
117,0.17026667416342997,-0.052087051926302835,0.8344241861887755,0.007419775805562356,lower
118,0.16296902754822834,-0.051135818044262926,0.8417835674140351,0.007297568143193323,lower
119,0.15579918019034014,-0.05016142583924081,0.8490193224751621,0.0071725471292612974,lower
120,0.14876001248246595,-0.049165021401249925,0.8561286616725577,0.00704476161664952,lower
121,0.14185435542822905,-0.04814773588363526,0.8631088457084611,0.006914263606979498,lower
122,0.13508498893335463,-0.04711068162155832,0.8699571888865167,0.006781108355795207,lower
123,0.1284546401386811,-0.046054948376239774,0.8766710624200516,0.006645354486362942,lower
124,0.12196598179831658,-0.04498159972076131,0.8832478978592426,0.006507064115547967,lower
125,0.11562163070598232,-0.043891669582675846,0.8896851906511475,0.006366302995961304,lower
126,0.10942414617230485,-0.042786158958056375,0.8959805038511652,0.006223140679458672,lower
127,0.10337602855553203,-0.04166603281092875,0.9021314720100648,0.00607765070815558,lower
128,0.09747971784786394,-0.04053221717128651,0.9081358052674764,0.0059299108404594625,lower
129,0.09173759231930165,-0.03938559644407911,0.9139912936909838,0.005780003321280203,lower
130,0.08615196722063363,-0.0382270109407007,0.9196958119100368,0.005628015207658488,lower
131,0.0807250935469022,-0.03705725464359096,0.9252473241063007,0.005474038763676026,lower
132,0.07545915686241869,-0.03587707321359268,0.9306438894373888,0.005318171941846805,lower
133,0.07035627618813539,-0.03468716224870044,0.9358836679899943,0.005160518972457007,lower
134,0.06541850295192843,-0.03348816580178248,0.9409649273823029,0.005001191087819878,lower
135,0.060647820002105654,-0.032280675163768265,0.9458860501656341,0.0048403074155426995,lower
136,0.05604614068422625,-0.031065227917674857,0.9506455422133883,0.004677996084204772,lower
137,0.05161530798110595,-0.029842307267696235,0.9552420423340436,0.004514395597053744,lower
138,0.04735709371568243,-0.028612341646409734,0.9596743334074957,0.004349656545440672,lower
139,0.043273197816233275,-0.02737570460196691,0.963941355424925,0.00418394375508907,lower
140,0.039365247643273114,-0.026132714965936395,0.9680422209176739,0.004017438986786137,lower
141,0.03563479737730243,-0.02488363730126006,0.9719762333984973,0.0038503443511990754,lower
142,0.03208332746645028,-0.02362868262857698,0.975742909620072,0.003682886648635253,lower
143,0.028712244132929637,-0.022368009427965192,0.9793420066957678,0.003515322913144825,lower
144,0.025522878937123107,-0.021101724911957616,0.9827735554463617,0.0033479475321354646,lower
145,0.022516488398026006,-0.019829886564507605,0.9860379017600387,0.0031811014345753397,lower
146,0.019694253668699525,-0.018552503939420397,0.9891357583155124,0.003015184000363491,lower
147,0.017057280265323087,-0.017269540710630485,0.9920682697607657,0.002850668546258317,lower
148,0.014606597848385581,-0.015980916965600035,0.994837095408029,0.0026881224879530263,lower
149,0.012343160054515384,-0.0146865117320431,0.9974445147366717,0.0025282335403693512,lower
150,0.010267844377418699,-0.01338616572714927,0.9998935624887677,0.002371843525465267,lower
151,0.008381452096374656,-0.01207968431749438,1.0021882017876023,0.0022199913259388637,lower
