station,x_c,y_delta,y_mm,u_Ue,T_Te,T_K,Me_edge,H_shape,H_profile,recovery_r,delta_mm,intermittency_gamma,state
x/c=0.30,0.3,0.462,0.8439,0.7279,1.0253,215.94,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.487,0.8908,0.7554,1.0231,215.48,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.513,0.9377,0.7811,1.021,215.03,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.538,0.9845,0.8051,1.0189,214.6,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.564,1.0314,0.8272,1.017,214.2,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.59,1.0783,0.8476,1.0151,213.81,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.615,1.1252,0.8663,1.0134,213.45,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.641,1.1721,0.8833,1.0118,213.11,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.667,1.219,0.8987,1.0103,212.8,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.692,1.2658,0.9125,1.009,212.51,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.718,1.3127,0.9249,1.0078,212.26,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.744,1.3596,0.9359,1.0067,212.03,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.769,1.4065,0.9456,1.0057,211.82,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.795,1.4534,0.9541,1.0048,211.64,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.821,1.5003,0.9614,1.0041,211.48,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.846,1.5471,0.9678,1.0034,211.34,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.872,1.594,0.9733,1.0028,211.22,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
