x_c,arc_s_m,Re_x,Cp,Ue_ms,Ue_Uinf,theta_mm,H_shape,Cf,Re_theta,Re_theta_trans,n_factor,n_crit,intermittency_gamma,state
0.482714,0.994085,3152855.0,-0.20286,134.7578,1.08738,0.33395,2.6663,0.0003623,1098.56,,3.9286,8.184,0.0,laminar
0.494668,1.018284,3229607.0,-0.19862,134.5425,1.08564,0.34074,2.6884,0.0003448,1119.26,,4.3576,8.184,0.0,laminar
0.506623,1.042494,3306391.0,-0.19388,134.3014,1.08369,0.34769,2.713,0.000327,1140.25,,4.8055,8.184,0.0,laminar
0.518574,1.066701,3383168.0,-0.18866,134.035,1.08154,0.35482,2.7401,0.000309,1161.53,,5.2781,8.184,0.0,laminar
0.530514,1.090893,3459895.0,-0.18298,133.7442,1.0792,0.36213,2.77,0.0002907,1183.13,,5.7843,8.184,0.0,laminar
0.542436,1.115057,3536534.0,-0.17685,133.4296,1.07666,0.36963,2.8034,0.0002721,1205.06,,6.3346,8.184,0.0,laminar
0.554334,1.13918,3613044.0,-0.17029,133.092,1.07393,0.37734,2.8407,0.000253,1227.36,,6.9407,8.184,0.0,laminar
0.566202,1.16325,3689382.0,-0.16332,132.7324,1.07103,0.38526,2.883,0.0002334,1250.04,,7.6134,8.184,0.0,laminar
0.578032,1.187252,3765509.0,-0.15597,132.3515,1.06796,0.3934,2.9312,0.0002131,1270.7,,8.3623,8.184,0.0,transitional
0.589819,1.211175,3841384.0,-0.14826,131.9504,1.06472,0.40191,2.981,0.0002047,1294.61,,0.0,8.184,0.00404,transitional
0.601556,1.235006,3916965.0,-0.1402,131.5298,1.06133,0.4115,3.0277,0.0002218,1321.66,,0.0,8.184,0.01599,transitional
0.613236,1.258731,3992211.0,-0.13183,131.0908,1.05779,0.42303,3.0736,0.0002625,1354.6,,0.0,8.184,0.03546,transitional
0.624853,1.282337,4067081.0,-0.12315,130.6342,1.0541,0.43732,3.1236,0.0003236,1395.92,,0.0,8.184,0.06189,transitional
0.636402,1.305812,4141534.0,-0.1142,130.161,1.05028,0.45504,3.1897,0.0004007,1447.7,,0.0,8.184,0.09455,transitional
0.647874,1.329142,4215528.0,-0.10499,129.6721,1.04634,0.47675,3.3122,0.0004868,1511.57,,0.0,8.184,0.13261,transitional
0.659265,1.352314,4289022.0,-0.09556,129.1685,1.04228,0.50292,3.5491,0.0005794,1588.92,,0.0,8.184,0.17513,transitional
0.670567,1.375316,4361974.0,-0.0859,128.6511,1.0381,0.53379,3.4308,0.0007216,1680.28,,0.0,8.184,0.22114,transitional
0.681775,1.398133,4434343.0,-0.07606,128.1207,1.03382,0.5693,3.3061,0.0008682,1785.34,,0.0,8.184,0.26966,transitional
0.692882,1.420754,4506088.0,-0.06604,127.5783,1.02944,0.60935,3.1773,0.001016,1903.55,,0.0,8.184,0.31974,transitional
0.703882,1.443165,4577167.0,-0.05587,127.0246,1.02498,0.65369,3.0469,0.0011622,2033.97,,0.0,8.184,0.37048,transitional
0.714769,1.465354,4647539.0,-0.04556,126.4605,1.02042,0.70199,2.917,0.0013043,2175.39,,0.0,8.184,0.42104,transitional
0.725536,1.487306,4717163.0,-0.03514,125.8866,1.01579,0.75385,2.7896,0.0014404,2326.4,,0.0,8.184,0.4707,transitional
0.736178,1.509009,4785998.0,-0.0246,125.3038,1.01109,0.80883,2.6661,0.0015687,2485.48,,0.0,8.184,0.51885,transitional
0.746688,1.530451,4854003.0,-0.01398,124.7127,1.00632,0.86645,2.548,0.001688,2651.06,,0.0,8.184,0.56496,transitional
