x_c,y_c,Cp,Vx_ms,Vy_ms,speed_ms
1.37,-0.6,0.0516,120.9684,2.0633,120.986
1.3775,-0.6,0.05137,120.9819,2.0431,120.9991
1.385,-0.6,0.05114,120.9956,2.0232,121.0125
1.3925,-0.6,0.0509,121.0095,2.0038,121.0261
1.4,-0.6,0.05066,121.0237,1.9848,121.04
-0.4,-0.5925,0.06119,120.3513,4.3312,120.4292
-0.3925,-0.5925,0.0615,120.3342,4.3019,120.411
-0.385,-0.5925,0.06181,120.3175,4.272,120.3933
-0.3775,-0.5925,0.0621,120.3013,4.2415,120.376
-0.37,-0.5925,0.06239,120.2855,4.2104,120.3592
-0.3625,-0.5925,0.06267,120.2703,4.1787,120.3428
-0.355,-0.5925,0.06295,120.2555,4.1464,120.327
-0.3475,-0.5925,0.06321,120.2413,4.1135,120.3117
-0.34,-0.5925,0.06346,120.2277,4.08,120.2969
-0.3325,-0.5925,0.06371,120.2147,4.0459,120.2827
-0.325,-0.5925,0.06394,120.2022,4.0112,120.2692
-0.3175,-0.5925,0.06416,120.1905,3.976,120.2562
-0.31,-0.5925,0.06437,120.1794,3.9402,120.244
-0.3025,-0.5925,0.06457,120.1691,3.9039,120.2325
-0.295,-0.5925,0.06475,120.1594,3.8671,120.2216
-0.2875,-0.5925,0.06493,120.1506,3.8297,120.2116
-0.28,-0.5925,0.06508,120.1425,3.7918,120.2023
-0.2725,-0.5925,0.06523,120.1352,3.7534,120.1938
-0.265,-0.5925,0.06536,120.1288,3.7146,120.1862
-0.2575,-0.5925,0.06548,120.1233,3.6754,120.1795
-0.25,-0.5925,0.06558,120.1187,3.6357,120.1737
-0.2425,-0.5925,0.06566,120.115,3.5956,120.1688
-0.235,-0.5925,0.06573,120.1122,3.5551,120.1648
-0.2275,-0.5925,0.06578,120.1105,3.5143,120.1619
-0.22,-0.5925,0.06581,120.1097,3.4731,120.1599
-0.2125,-0.5925,0.06583,120.11,3.4317,120.159
-0.205,-0.5925,0.06582,120.1113,3.39,120.1592
-0.1975,-0.5925,0.0658,120.1138,3.3481,120.1604
-0.19,-0.5925,0.06576,120.1173,3.3059,120.1628
-0.1825,-0.5925,0.0657,120.1219,3.2637,120.1663
-0.175,-0.5925,0.06562,120.1277,3.2213,120.1709
-0.1675,-0.5925,0.06552,120.1347,3.1788,120.1768
-0.16,-0.5925,0.0654,120.1429,3.1362,120.1838
-0.1525,-0.5925,0.06526,120.1522,3.0937,120.192
-0.145,-0.5925,0.0651,120.1628,3.0512,120.2015
-0.1375,-0.5925,0.06492,120.1745,3.0088,120.2122
-0.13,-0.5925,0.06471,120.1876,2.9666,120.2242
-0.1225,-0.5925,0.06448,120.2018,2.9245,120.2374
-0.115,-0.5925,0.06423,120.2173,2.8826,120.2519
-0.1075,-0.5925,0.06396,120.2341,2.8411,120.2677
-0.1,-0.5925,0.06367,120.2521,2.7998,120.2847
-0.0925,-0.5925,0.06336,120.2714,2.7589,120.3031
-0.085,-0.5925,0.06302,120.292,2.7185,120.3227
-0.0775,-0.5925,0.06266,120.3138,2.6785,120.3436
-0.07,-0.5925,0.06228,120.3368,2.6391,120.3657
-0.0625,-0.5925,0.06188,120.3611,2.6002,120.3892
-0.055,-0.5925,0.06145,120.3866,2.562,120.4139
-0.0475,-0.5925,0.06101,120.4133,2.5245,120.4398
-0.04,-0.5925,0.06054,120.4412,2.4877,120.4669
-0.0325,-0.5925,0.06005,120.4703,2.4517,120.4953
-0.025,-0.5925,0.05955,120.5006,2.4165,120.5248
-0.0175,-0.5925,0.05902,120.532,2.3823,120.5555
-0.01,-0.5925,0.05847,120.5644,2.349,120.5873
-0.0025,-0.5925,0.05791,120.598,2.3166,120.6202
0.005,-0.5925,0.05732,120.6325,2.2854,120.6542
0.0125,-0.5925,0.05672,120.6681,2.2552,120.6892
0.02,-0.5925,0.0561,120.7047,2.2261,120.7252
0.0275,-0.5925,0.05546,120.7422,2.1983,120.7622
0.035,-0.5925,0.05481,120.7805,2.1716,120.8
0.0425,-0.5925,0.05414,120.8197,2.1462,120.8388
0.05,-0.5925,0.05346,120.8597,2.1221,120.8783
0.0575,-0.5925,0.05276,120.9004,2.0994,120.9187
0.065,-0.5925,0.05205,120.9419,2.078,120.9597
0.0725,-0.5925,0.05133,120.9839,2.058,121.0014
0.08,-0.5925,0.0506,121.0266,2.0395,121.0438
0.0875,-0.5925,0.04986,121.0698,2.0224,121.0867
0.095,-0.5925,0.04911,121.1135,2.0068,121.1301
0.1025,-0.5925,0.04835,121.1575,1.9928,121.1739
0.11,-0.5925,0.04758,121.202,1.9802,121.2182
0.1175,-0.5925,0.04681,121.2467,1.9692,121.2627
0.125,-0.5925,0.04603,121.2917,1.9597,121.3076
0.1325,-0.5925,0.04525,121.3369,1.9519,121.3526
0.14,-0.5925,0.04447,121.3822,1.9456,121.3978
0.1475,-0.5925,0.04368,121.4275,1.9409,121.443
0.155,-0.5925,0.0429,121.4728,1.9378,121.4883
0.1625,-0.5925,0.04211,121.5181,1.9362,121.5335
0.17,-0.5925,0.04133,121.5632,1.9363,121.5786
0.1775,-0.5925,0.04055,121.6081,1.9379,121.6235
0.185,-0.5925,0.03977,121.6527,1.9411,121.6682
0.1925,-0.5925,0.039,121.6971,1.9459,121.7126
0.2,-0.5925,0.03823,121.741,1.9522,121.7567
0.2075,-0.5925,0.03747,121.7845,1.9601,121.8003
0.215,-0.5925,0.03672,121.8275,1.9694,121.8434
0.2225,-0.5925,0.03598,121.87,1.9803,121.8861
0.23,-0.5925,0.03524,121.9118,1.9926,121.9281
0.2375,-0.5925,0.03452,121.9529,2.0064,121.9694
0.245,-0.5925,0.03381,121.9934,2.0216,122.0101
0.2525,-0.5925,0.03312,122.033,2.0381,122.05
0.26,-0.5925,0.03243,122.0718,2.056,122.0891
0.2675,-0.5925,0.03176,122.1098,2.0753,122.1274
0.275,-0.5925,0.03111,122.1468,2.0958,122.1647
0.2825,-0.5925,0.03048,122.1828,2.1175,122.2011
0.29,-0.5925,0.02986,122.2178,2.1404,122.2365
0.2975,-0.5925,0.02926,122.2517,2.1645,122.2709
0.305,-0.5925,0.02867,122.2845,2.1897,122.3042
0.3125,-0.5925,0.02811,122.3162,2.216,122.3363
0.32,-0.5925,0.02757,122.3467,2.2433,122.3673
0.3275,-0.5925,0.02705,122.376,2.2716,122.3971
0.335,-0.5925,0.02655,122.4041,2.3007,122.4257
